field_name,layer,role,data_type,description,source_file,source_field_or_rule,sample_scope,time_window,formula_or_construction,allowed_values,missing_rule,percentile_reference,display_rounding,claim_limit,implementation_status,output_column_present,actual_nonmissing_n,actual_null_n,actual_zero_n,actual_unique_n,actual_min,actual_max,implementation_note
protocol_version,metadata,identifier,string,Locked protocol version used by all Iteration 02 outputs,Protocol constant,v1.0,A55,not applicable,literal v1.0,v1.0,never missing,not applicable,text,Does not imply an empirical result,PASS,1,55,0,,1,,,Implemented directly from locked protocol
country_code,metadata,identifier,string,Frozen study ISO2 code,country_period_summary.csv,country_code,A55,not applicable,copy after one-to-one key reconciliation,55 valid study ISO2 codes,never missing,not applicable,text,Identifier only,PASS,1,55,0,,55,,,Implemented directly from locked protocol
iso3,metadata,identifier,string,Frozen ISO3 code,country_period_summary.csv,iso3,A55,not applicable,copy after one-to-one key reconciliation,55 valid ISO3 codes,never missing,not applicable,text,Identifier only,PASS,1,55,0,,55,,,Implemented directly from locked protocol
country,metadata,identifier,string,Frozen country display name,country_period_summary.csv,country,A55,not applicable,copy after concordance check,study country names,never missing,not applicable,text,Label only,PASS,1,55,0,,55,,,Implemented directly from locked protocol
mother_sample_55,sample,sample_flag,integer,Membership in the 55-country mother frame,Protocol constant,A55 definition,A55,not applicable,set to 1 for every output row,1,never missing,not applicable,integer,Does not indicate infrastructure observation,PASS,1,55,0,0,1,1,1,Implemented directly from locked protocol
network_primary_covered,sample,sample_flag,integer,Current Phase 2-B primary infrastructure coverage flag,peeringdb_country_summary.csv,network_primary_covered,A55,2026-07-15,left join by country_code; preserve 0 and 1,0;1,never missing after join,defines C39,integer,"0 means Not observed under this source, not real-world absence",PASS,1,55,0,16,2,0,1,Implemented directly from locked protocol
time_core31_flag,sample,sample_flag,integer,Membership in the separate longitudinal T31 core,t1_primary_core31_risk_set.csv,union of iso_i and iso_j,A55,2018-2023 event panels,1 if country appears in either dyad endpoint; otherwise 0,0;1,never missing,not a percentile denominator,integer,Must not replace or be unioned with C39,PASS,1,55,0,24,2,0,1,Implemented directly from locked protocol
resource_period,resource,time_metadata,string,OpenAlex period used for research activity,country_period_summary.csv,period,A55,2021-2025,filter period = current_2021_2025,current_2021_2025,never missing,not applicable,text,"Descriptive period, not a causal pre-period",PASS,1,55,0,,1,,,Implemented directly from locked protocol
research_activity_fractional,resource,primary_indicator,number,Primary national AI research activity indicator,country_period_summary.csv,fractional_ai_output,A55,2021-2025,sum of 1/m country contributions across included AI works,>=0,OpenAlex validated zero remains numeric 0,ranked in A55 and C39,full precision raw,Publication activity only; not comprehensive AI capacity,PASS,1,55,0,3,53,0,3723.556252877528,Implemented directly from locked protocol
research_activity_state,resource,state,string,Observation state for the Primary resource indicator,Derived from research_activity_fractional,state rule,A55,2021-2025,0 -> Observed zero; >0 -> Observed positive; source unavailable -> Not observed,Not observed;Observed zero;Observed positive,state must match numeric value,not applicable,text,State is not a performance category,PASS,1,55,0,,2,,,Implemented directly from locked protocol
