manuscript location,original claim,measure used,node set,observation window,inferential status,revised claim,action taken,verification status
Abstract; 4.2; 5.1; 5.4; 5.6,Measures should remain separate / were not interchangeable,C39 shared-ASN participation percentile and A55-derived knowledge-position percentile,C39,PeeringDB 2026 snapshot; OpenAlex 2021-2025,Descriptive diagnostics,Separate reporting is supported because sufficiently close correspondence for direct substitution was not established; no universal non-equivalence claim,Narrowed,PASS
Title; Abstract; Introduction,Public interconnection position,Cross-country-shared ASN participation count,C39,2026-07-15 snapshot,Descriptive country position,Shared-ASN participation position,Renamed,PASS
Methods 3.3; Results 4.3,Infrastructure co-presence,Inverse-ubiquity-weighted shared-ASN co-presence,C38 model / C39 construction,2026-07-15 snapshot,Conditional dyadic association,Inverse-ubiquity-weighted shared-ASN co-presence,Construct specified,PASS
Methods 3.2; Figure 1,National AI research activity,"Fractional publication count, 1/m over resolved countries worldwide",A55 reported,2021-2025,Descriptive activity,National fractional AI research activity; not comprehensive AI capacity,Definition expanded,PASS
Methods 3.2; Results 4.2,AI collaboration position,A55 Africa-Africa fractional coauthorship weighted degree,A55; reranked C39 for Gate A,2021-2025,Descriptive network position,A55-derived cross-border AI collaboration-network position,Node set specified,PASS
Results 4.4; Discussion 5.2,REC concentration,Within-REC share relative to fixed-degree references,C39,2021-2025 knowledge; 2026 PeeringDB,Structural concentration,Empirical concentration conditional on observed degrees; no institutional attribution,Retained with ensemble correction,PASS
Results 4.4; Discussion 5.2,Adjusted REC association,shared_rec_count coefficient in C38 DSP-MRQAP,C38 / 703 dyads,End-2025 REC coding,Conditional association,Small negative uncertain conditional association; not REC effect,Retained,PASS
Methods 3.6; Results 4.1; Discussion 5.3,Infrastructure observability,PeeringDB eligibility and coverage diagnostics,A55 -> C39,2026-07-15,Descriptive selection/observability,"Recorded positive, recorded zero under construction, or not observed under source/eligibility rule",State labels narrowed,PASS
Methods 3.10; Results 4.5,New collaboration formation,Tie presence in t+1 after no tie in t-2/t-1,T31 risk sets,Historical event cohorts,Exploratory,Compatible next-year tie presence; strict formation additionally excludes event-year ties,Outcome relabelled,PASS
Abstract; Methods 3.7; Results 4.3; Table 2,Primary C39 model,log1p A55 association strength,C38,2021-2025,Conditional association,38 infrastructure-observed countries with defined knowledge association-strength denominators,Estimand qualified,PASS
