filename,column,description,authoritative_definition
a55_complete_dyads_with_observation_flags.csv,openalex_snapshot_date,openalex snapshot date,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,peeringdb_rec_snapshot_date,peeringdb rec snapshot date,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,macro_reference_year,macro reference year,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,period,period,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,iso_i,iso i,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,iso_j,iso j,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,coauth_full,coauth full,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,coauth_fractional,coauth fractional,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,association_strength,association strength,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,log1p_association_strength,log1p association strength,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,knowledge_edge_present,knowledge edge present,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,network_primary_defined,network primary defined,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,network_defined_excluding_ambiguous_ixps,network defined excluding ambiguous ixps,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,shared_asn_count,shared asn count,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,inverse_ubiquity_weighted_shared_asns,inverse ubiquity weighted shared asns,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,asn_jaccard_similarity,asn jaccard similarity,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,asn_cosine_similarity,asn cosine similarity,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,inverse_ubiquity_excluding_asns_ge_25pct,inverse ubiquity excluding asns ge 25pct,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
